id_correlativo,codigo_vendedor,codigo_producto,razon
331.0,V0,,venta no encontrada
337.0,V0,,venta no encontrada
342.0,V0,,venta no encontrada
361.0,V0,,venta no encontrada
369.0,V0,,venta no encontrada
393.0,V0,,venta no encontrada
393.0,V0,,venta no encontrada
397.0,V0,,venta no encontrada
402.0,V0,,venta no encontrada
427.0,V0,,venta no encontrada
437.0,V0,,venta no encontrada
444.0,V0,,venta no encontrada
450.0,V0,,venta no encontrada
459.0,V0,,venta no encontrada
487.0,V0,,venta no encontrada
542.0,V0,,venta no encontrada
549.0,V0,,venta no encontrada
580.0,V0,,venta no encontrada
598.0,V0,,venta no encontrada
617.0,V0,,venta no encontrada
621.0,V0,,venta no encontrada
626.0,V0,,venta no encontrada
690.0,V0,,venta no encontrada
695.0,V0,,venta no encontrada
695.0,V0,,venta no encontrada
710.0,V0,,venta no encontrada
711.0,V0,,venta no encontrada
716.0,V0,,venta no encontrada
719.0,V0,,venta no encontrada
754.0,V0,,venta no encontrada
771.0,V0,,venta no encontrada
785.0,V0,,venta no encontrada
818.0,V0,,venta no encontrada
836.0,V0,,venta no encontrada
847.0,V0,,venta no encontrada
859.0,V0,,venta no encontrada
879.0,V0,,venta no encontrada
916.0,V0,,venta no encontrada
989.0,V0,,venta no encontrada
1012.0,V0,,venta no encontrada
1043.0,V0,,venta no encontrada
1074.0,V0,,venta no encontrada
1089.0,V0,,venta no encontrada
1099.0,V0,,venta no encontrada
1144.0,V0,,venta no encontrada
1169.0,V0,,venta no encontrada
1171.0,V0,,venta no encontrada
1201.0,V0,,venta no encontrada
1227.0,V0,,venta no encontrada
1230.0,V0,,venta no encontrada
1235.0,V0,,venta no encontrada
1244.0,V0,,venta no encontrada
1248.0,V0,,venta no encontrada
1268.0,V0,,venta no encontrada
1285.0,V0,,venta no encontrada
1285.0,V0,,venta no encontrada
1287.0,V0,,venta no encontrada
1299.0,V0,,venta no encontrada
1311.0,V0,,venta no encontrada
1323.0,V0,,venta no encontrada
1338.0,V0,,venta no encontrada
1371.0,V0,,venta no encontrada
1371.0,V0,,venta no encontrada
1372.0,V0,,venta no encontrada
1373.0,V0,,venta no encontrada
1384.0,V0,,venta no encontrada
1394.0,V0,,venta no encontrada
1397.0,V0,,venta no encontrada
1.0,V1,,producto no encontrado
770.0,V1,,venta no encontrada
1271.0,V1,,venta no encontrada
1565.0,V1,,venta no encontrada
1686.0,V1,,venta no encontrada
1718.0,V1,,venta no encontrada
1733.0,V1,,venta no encontrada
1736.0,V1,,venta no encontrada
1816.0,V1,,venta no encontrada
1831.0,V1,,venta no encontrada
1833.0,V1,,venta no encontrada
1856.0,V1,,venta no encontrada
1872.0,V1,,venta no encontrada
1882.0,V1,,venta no encontrada
1896.0,V1,,venta no encontrada
1897.0,V1,,venta no encontrada
1946.0,V1,,venta no encontrada
1978.0,V1,,venta no encontrada
1999.0,V1,,venta no encontrada
2000.0,V1,,venta no encontrada
2104.0,V1,,venta no encontrada
2140.0,V1,,venta no encontrada
2152.0,V1,,venta no encontrada
2177.0,V1,,venta no encontrada
2217.0,V1,,venta no encontrada
2221.0,V1,,venta no encontrada
2300.0,V1,,venta no encontrada
2301.0,V1,,venta no encontrada
1783.0,V1,,venta no encontrada
1783.0,V1,,venta no encontrada
1647.0,V1,,venta no encontrada
2390.0,V1,,venta no encontrada
2391.0,V1,,venta no encontrada
2392.0,V1,,venta no encontrada
2393.0,V1,,venta no encontrada
2394.0,V1,,venta no encontrada
2395.0,V1,,venta no encontrada
2396.0,V1,,venta no encontrada
2397.0,V1,,venta no encontrada
2398.0,V1,,venta no encontrada
2399.0,V1,,venta no encontrada
2400.0,V1,,venta no encontrada
2402.0,V1,,venta no encontrada
2471.0,V1,,venta no encontrada
2520.0,V1,,venta no encontrada
2513.0,V1,,venta no encontrada
2529.0,V1,,venta no encontrada
2611.0,V1,,venta no encontrada
2638.0,V1,,venta no encontrada
2693.0,V1,,venta no encontrada
2706.0,V1,,venta no encontrada
2754.0,V1,,venta no encontrada
2768.0,V1,,venta no encontrada
2814.0,V1,,venta no encontrada
2820.0,V1,,venta no encontrada
2821.0,V1,,venta no encontrada
2836.0,V1,,venta no encontrada
2845.0,V1,,venta no encontrada
2864.0,V1,,venta no encontrada
2921.0,V1,,venta no encontrada
2961.0,V1,,venta no encontrada
2983.0,V1,,venta no encontrada
3102.0,V1,,venta no encontrada
3204.0,V1,,venta no encontrada
3206.0,V1,,venta no encontrada
3350.0,V1,,venta no encontrada
3358.0,V1,,venta no encontrada
3360.0,V1,,venta no encontrada
3445.0,V1,,venta no encontrada
3504.0,V1,,venta no encontrada
3531.0,V1,,venta no encontrada
3650.0,V1,,venta no encontrada
3643.0,V1,,venta no encontrada
3679.0,V1,,venta no encontrada
3693.0,V1,,venta no encontrada
3780.0,V1,,venta no encontrada
3801.0,V1,,venta no encontrada
3830.0,V1,,venta no encontrada
3852.0,V1,,venta no encontrada
3928.0,V1,,venta no encontrada
4021.0,V1,,venta no encontrada
4037.0,V1,,venta no encontrada
4150.0,V1,,venta no encontrada
4155.0,V1,,venta no encontrada
4165.0,V1,,venta no encontrada
4171.0,V1,,venta no encontrada
4190.0,V1,,venta no encontrada
4224.0,V1,,venta no encontrada
4272.0,V1,,venta no encontrada
3467.0,V1,,venta no encontrada
4491.0,V1,,venta no encontrada
4500.0,V1,,venta no encontrada
4503.0,V1,,venta no encontrada
4539.0,V1,,venta no encontrada
4541.0,V1,,venta no encontrada
4542.0,V1,,venta no encontrada
4570.0,V1,,venta no encontrada
4471.0,V1,,venta no encontrada
4628.0,V1,,venta no encontrada
4604.0,V1,,venta no encontrada
4666.0,V1,,venta no encontrada
4693.0,V1,,venta no encontrada
4756.0,V1,,venta no encontrada
4841.0,V1,,venta no encontrada
5041.0,V1,,venta no encontrada
5048.0,V1,,venta no encontrada
5049.0,V1,,venta no encontrada
5051.0,V1,,venta no encontrada
5057.0,V1,,venta no encontrada
5063.0,V1,,venta no encontrada
5064.0,V1,,venta no encontrada
5067.0,V1,,venta no encontrada
5070.0,V1,,venta no encontrada
5074.0,V1,,venta no encontrada
5071.0,V1,,venta no encontrada
5077.0,V1,,venta no encontrada
5079.0,V1,,venta no encontrada
5097.0,V1,,venta no encontrada
5100.0,V1,,venta no encontrada
5107.0,V1,,venta no encontrada
5110.0,V1,,venta no encontrada
5112.0,V1,,venta no encontrada
5120.0,V1,,venta no encontrada
5129.0,V1,,venta no encontrada
5128.0,V1,,venta no encontrada
5126.0,V1,,venta no encontrada
5135.0,V1,,venta no encontrada
5152.0,V1,,venta no encontrada
5150.0,V1,,venta no encontrada
5145.0,V1,,venta no encontrada
5146.0,V1,,venta no encontrada
5163.0,V1,,venta no encontrada
5173.0,V1,,venta no encontrada
5175.0,V1,,venta no encontrada
5185.0,V1,,venta no encontrada
5189.0,V1,,venta no encontrada
5191.0,V1,,venta no encontrada
5194.0,V1,,venta no encontrada
5196.0,V1,,venta no encontrada
5262.0,V1,,venta no encontrada
5267.0,V1,,venta no encontrada
5273.0,V1,,venta no encontrada
5274.0,V1,,venta no encontrada
5286.0,V1,,venta no encontrada
5204.0,V1,,venta no encontrada
5213.0,V1,,venta no encontrada
5223.0,V1,,venta no encontrada
5224.0,V1,,venta no encontrada
5234.0,V1,,venta no encontrada
5236.0,V1,,venta no encontrada
5238.0,V1,,venta no encontrada
5246.0,V1,,venta no encontrada
5248.0,V1,,venta no encontrada
5303.0,V1,,venta no encontrada
5310.0,V1,,venta no encontrada
5312.0,V1,,venta no encontrada
5317.0,V1,,venta no encontrada
5320.0,V1,,venta no encontrada
5324.0,V1,,venta no encontrada
5338.0,V1,,venta no encontrada
5342.0,V1,,venta no encontrada
5344.0,V1,,venta no encontrada
4687.0,V1,,venta no encontrada
4917.0,V1,,venta no encontrada
5357.0,V1,,venta no encontrada
5361.0,V1,,venta no encontrada
5364.0,V1,,venta no encontrada
5391.0,V1,,venta no encontrada
5381.0,V1,,venta no encontrada
5387.0,V1,,venta no encontrada
5388.0,V1,,venta no encontrada
5503.0,V1,,venta no encontrada
5504.0,V1,,venta no encontrada
5401.0,V1,,venta no encontrada
5512.0,V1,,venta no encontrada
5522.0,V1,,venta no encontrada
5526.0,V1,,venta no encontrada
5502.0,V1,,producto no encontrado
5548.0,V1,,venta no encontrada
